,jd,mag,mag_unc,filter,limmag,programid
0,2459394.8791782,99.0,99.0,g,20.556035059233,2.0
1,2459394.9441435,99.0,99.0,r,20.5109332483848,2.0
2,2459395.7832407,99.0,99.0,g,20.0261626712366,2.0
3,2459396.7832986,99.0,99.0,g,20.9837595494819,2.0
4,2459396.8290856,20.9792262245704,0.221231641938337,r,20.9589939071656,2.0
5,2459396.8743981,99.0,99.0,i,20.4264053129565,2.0
6,2459396.8748611,99.0,99.0,i,20.4695711817431,2.0
7,2459396.9099653,20.880346834806,0.225930931468404,r,20.8372933918107,2.0
8,2459396.9247801,99.0,99.0,g,20.6001717700352,2.0
9,2459397.758125,99.0,99.0,g,21.1574266827278,2.0
10,2459397.7834722,21.3349308953399,0.232955895406553,g,21.2586324204355,2.0
11,2459397.8098264,21.3169881432785,0.237316712207061,g,21.2205531249245,2.0
12,2459397.8579282,99.0,99.0,r,20.9854632895801,2.0
13,2459397.8590972,21.3255642868839,0.241545660022626,r,21.2099519792347,2.0
14,2459399.7245486,21.3680311105601,0.263288773602674,r,21.158836045718,2.0
15,2459399.8093287,21.0072719031599,0.195345306402257,g,21.1221502402201,2.0
16,2459399.8256713,21.0704354665953,0.177904873362169,r,21.2868516434124,2.0
17,2459399.8732639,99.0,99.0,i,20.5278354731852,2.0
18,2459399.8737384,99.0,99.0,i,20.425273854883,2.0
19,2459400.7243171,20.9628988583441,0.165807408365553,r,21.2557748195295,2.0
20,2459400.7626042,21.0914682079715,0.236830059608571,g,20.9972619363359,2.0
21,2459400.8065741,20.7938672068446,0.165372535811239,g,21.0895945312019,2.0
22,2459400.8075116,21.0868817981358,0.210667708796079,g,21.1197726573956,2.0
23,2459400.8471065,21.2440091038619,0.259875626406811,r,21.0489810200319,2.0
24,2459400.923831,20.4344594228283,0.227222438461692,r,20.3852171714028,2.0
25,2459401.7457176,20.7801808295052,0.161672091445308,g,21.1004789772627,2.0
26,2459401.8010417,20.6665025988712,0.140445774815677,r,21.1396166920206,2.0
27,2459401.8188889,20.634561110099,0.12979660562105,r,21.1932885613139,2.0
28,2459401.8626852,20.3769831927035,0.121075418744064,g,21.0112290324309,2.0
