,jd,mag,mag_unc,filter,limmag,programid
0,2459393.8037731,99.0,99.0,g,20.3516511090354,3.0
1,2459394.7449653,99.0,99.0,i,20.5825254909108,2.0
2,2459395.7641088,99.0,99.0,g,20.4475603140702,3.0
3,2459396.6992708,21.2420033881597,0.20739077002117,r,21.2919156170085,3.0
4,2459396.7609722,20.8859494362472,0.191176525766813,g,21.024248812965,3.0
5,2459397.7167824,21.0426317058355,0.178521848253036,r,21.2552890587211,3.0
6,2459397.7809838,18.0393265115314,0.0230211477644417,g,20.4758948695324,3.0
7,2459399.7196644,20.3847002980328,0.12968431838687,r,20.9443674277505,3.0
8,2459399.7662269,20.9448462185496,0.183443746118301,g,21.1279747312106,3.0
9,2459400.718588,20.5007273553787,0.136059366667018,r,21.0082920318125,3.0
10,2459400.7380208,99.0,99.0,i,20.5212093824302,2.0
11,2459400.7794907,20.6419686254374,0.239465124791056,g,20.5357487330299,3.0
12,2459401.719919,20.317005472237,0.163831470493177,g,20.6228979379636,3.0
13,2459401.8030671,20.3738625717646,0.15305877682615,r,20.7536027650315,3.0
