,jd,mag,mag_unc,filter,limmag,programid
0,2459385.8627894,99.0,99.0,r,21.0446383424269,2.0
1,2459385.9034838,99.0,99.0,g,21.0999895710046,2.0
2,2459386.7067708,99.0,99.0,r,20.5386753894286,2.0
3,2459386.7598148,99.0,99.0,i,20.0764578678287,2.0
4,2459386.7768981,99.0,99.0,g,20.6378984441354,2.0
5,2459386.8478819,99.0,99.0,g,20.3837027166592,2.0
6,2459386.8887384,99.0,99.0,r,20.8325914059028,2.0
7,2459386.8901852,99.0,99.0,r,20.9538545723522,2.0
8,2459386.9532523,99.0,99.0,g,21.2682839268172,2.0
9,2459387.7915972,99.0,99.0,g,20.275949316486,2.0
10,2459387.8959722,99.0,99.0,g,20.4078467348549,2.0
11,2459387.9298611,99.0,99.0,r,20.7782506251499,2.0
12,2459390.7077431,20.5223639288247,0.258908142162438,g,20.3313854469794,2.0
13,2459390.7246759,20.2911331191296,0.191900426091656,g,20.4253290606339,2.0
14,2459390.7995949,20.8322354919466,0.240736734055719,r,20.7202653700526,2.0
15,2459390.8231597,20.7582014161648,0.218097705797577,r,20.753459462271,2.0
16,2459390.8942477,99.0,99.0,r,20.5176824634337,2.0
17,2459390.9116782,20.7212232368156,0.271305633761166,i,20.4794619955577,2.0
18,2459391.8273264,20.6093042165517,0.193567721318652,r,20.7341076617189,2.0
19,2459391.9558681,20.4711868849231,0.267431753676629,g,20.2450402434778,2.0
20,2459392.7503819,20.1177122157573,0.102449596659491,g,20.933322372503,2.0
21,2459392.7629167,20.3498677454894,0.167385585346453,g,20.6324583961671,2.0
22,2459392.8440856,20.4825016783593,0.167422347815453,r,20.7648538977468,2.0
23,2459392.8663542,99.0,99.0,r,20.6789660372775,2.0
24,2459392.9427083,20.079892749908,0.207390666820008,g,20.1298055190377,2.0
25,2459393.7460069,20.5138653694365,0.116325132502304,r,21.1915672687859,2.0
26,2459393.7560648,20.3220463669909,0.096204424457706,g,21.2059445416483,2.0
27,2459393.8500347,20.0670927576275,0.122049765054167,g,20.6926361773764,2.0
28,2459393.9364815,20.5285481137656,0.253634672137637,i,20.3599123483581,2.0
29,2459393.9411227,20.4838296024762,0.177033259664504,r,20.7055782266261,2.0
30,2459394.7071412,20.4608939824995,0.118216160811082,g,21.1210876438633,2.0
31,2459394.8259028,99.0,99.0,r,20.2105704076583,2.0
32,2459394.8428819,20.3000458692995,0.149277518172244,g,20.7069456432466,2.0
33,2459394.8796644,20.1972912622295,0.131919735497378,g,20.7384026216579,2.0
34,2459394.9450926,20.2536921393831,0.13089370917902,r,20.8032809919007,2.0
35,2459395.7813426,20.3969774448818,0.232564144919025,g,20.3225063361533,2.0
36,2459395.8969907,20.3929487354148,0.166326177605753,g,20.6824330070643,2.0
