,jd,mag,mag_unc,filter,limmag,programid
0,2459383.8644329,99.0,99.0,r,20.3891888637198,3.0
1,2459383.8649074,99.0,99.0,r,20.6445400678317,3.0
2,2459383.8653704,99.0,99.0,r,20.6753936334067,3.0
3,2459383.8658333,99.0,99.0,r,20.6192173471895,3.0
4,2459383.8663079,99.0,99.0,r,20.4963820112976,3.0
5,2459383.8667708,99.0,99.0,r,20.6589874578018,3.0
6,2459383.8672454,99.0,99.0,r,20.6091097148098,3.0
7,2459383.8677083,99.0,99.0,r,20.6987153042781,3.0
8,2459383.8681713,99.0,99.0,r,20.6483106607792,3.0
9,2459383.8686458,99.0,99.0,r,20.8360497803511,3.0
10,2459383.8691088,99.0,99.0,r,20.553771450322,3.0
11,2459383.8695833,99.0,99.0,r,20.6687572639121,3.0
12,2459383.8700463,99.0,99.0,r,20.6492314257044,3.0
13,2459383.8705208,99.0,99.0,r,20.698757389487,3.0
14,2459383.8709838,99.0,99.0,r,20.435863934475,3.0
15,2459383.8714583,99.0,99.0,r,20.7961805653215,3.0
16,2459383.8719213,99.0,99.0,r,20.6142052432549,3.0
17,2459383.8723843,99.0,99.0,r,20.6221465233243,3.0
18,2459383.8728588,99.0,99.0,r,20.4845033638538,3.0
19,2459383.8733218,99.0,99.0,r,20.4846024240351,3.0
20,2459383.8737847,99.0,99.0,r,19.4606652060868,3.0
21,2459383.8742593,99.0,99.0,r,19.4795890763756,3.0
22,2459383.8747222,99.0,99.0,r,19.9502409329217,3.0
23,2459383.8751968,99.0,99.0,r,19.2721078614747,3.0
24,2459383.8756597,99.0,99.0,r,19.9221756025056,3.0
25,2459383.8761227,99.0,99.0,r,20.2057669751668,3.0
26,2459383.8765972,99.0,99.0,r,19.7327547367322,3.0
27,2459383.8770602,99.0,99.0,r,19.034003308619,3.0
28,2459383.8831366,99.0,99.0,r,19.0295497265381,3.0
29,2459383.8836111,99.0,99.0,r,17.884644207947,3.0
